creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810102005,CERTIFICADO DE PERSONA NATURAL-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-ROAMING INCL SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810103001,CERTIFICADO DE PERSONA NATURAL-CONEXIONES SEGURAS WEB-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810103002,CERTIFICADO DE PERSONA NATURAL-CONEXIONES SEGURAS WEB-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810103003,CERTIFICADO DE PERSONA NATURAL-CONEXIONES SEGURAS WEB-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810103004,CERTIFICADO DE PERSONA NATURAL-CONEXIONES SEGURAS WEB-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810201001,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS-TOKEN  PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810201002,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810201003,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS-TOKEN BIOMETRICO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810201004,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS- SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810202001,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN PROPIO DEL CLIENTE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810202002,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN DE SECURITY DATA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810202003,CERTIFICADO PERSONA JURIDICA-CORREO/DOCUMENTOS FIRMADOS Y ENCRIPTADOS-TOKEN BIOMETRICO, , , , 
