codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
S.S.PT.,Soporte tecnico Token,Servicios Complementarios,NULL,Personas Naturales,Token,NULL,Soporte tecnico,
S.S.RT.,Soporte tecnico Token,Servicios Complementarios,NULL,Representante Legal,Token,NULL,Soporte tecnico,
S.S.MT.,Soporte tecnico Token,Servicios Complementarios,NULL,Miembro de empresa,Token,NULL,Soporte tecnico,
S.T.PN.,Transporte de Token Nacional,Servicios Complementarios,NULL,Personas Naturales,Nacional,NULL,Transporte de Token,
S.T.RN.,Transporte de Token Nacional,Servicios Complementarios,NULL,Representante Legal,Nacional,NULL,Transporte de Token,
S.T.MN.,Transporte de Token Nacional,Servicios Complementarios,NULL,Miembro de empresa,Nacional,NULL,Transporte de Token,
S.T.PI.,Transporte de Token Internacional,Servicios Complementarios,NULL,Personas Naturales,Internacional,NULL,Transporte de Token,
S.T.RI.,Transporte de Token Internacional,Servicios Complementarios,NULL,Representante Legal,Internacional,NULL,Transporte de Token,
S.T.MI.,Transporte de Token Internacional,Servicios Complementarios,NULL,Miembro de empresa,Internacional,NULL,Transporte de Token,
SF.OF.P.E.N.V1.ENL.,Sistema de facturacion Vigencia 1 ano,Sistema de facturacion,Offline,Personas Naturales,Enlazado,Nuevo,Enlazado,Vigencia 1 ano
SF.OF.P.E.R.V1.ENL.,Sistema de facturacion Vigencia 1 ano,Sistema de facturacion,Offline,Personas Naturales,Enlazado,Renovacion,Enlazado,Vigencia 1 ano
SF.OF.E.E.N.V1.ENL.,Sistema de facturacion Vigencia 1 ano,Sistema de facturacion,Offline,Empresa,Enlazado,Nuevo,Enlazado,Vigencia 1 ano
SF.OF.E.E.R.V1.ENL.,Sistema de facturacion Vigencia 1 ano,Sistema de facturacion,Offline,Empresa,Enlazado,Renovacion,Enlazado,Vigencia 1 ano
AC.ST1.,Sello de tiempo De 1 a 5000,Aplicativos y certificado,NULL,NULL,ST1,Sello de tiempo,De 1 a 5000,NULL
AC.ST2.,Sello de tiempo De 5001 a 10000,Aplicativos y certificado,NULL,NULL,ST2,Sello de tiempo,De 5001 a 10000,NULL
AC.ST3.,Sello de tiempo De 30001 a 40000,Aplicativos y certificado,NULL,NULL,ST3,Sello de tiempo,De 30001 a 40000,NULL
AC.ST4.,Sello de tiempo De 40001 a 100000,Aplicativos y certificado,NULL,NULL,ST4,Sello de tiempo,De 40001 a 100000,NULL
AC.ST5.,Sello de tiempo De 100001 a 250000,Aplicativos y certificado,NULL,NULL,ST5,Sello de tiempo,De 100001 a 250000,NULL
AC.ST6.,Sello de tiempo De 250001 a 500000,Aplicativos y certificado,NULL,NULL,ST6,Sello de tiempo,De 250001 a 500000,NULL
AC.ST7.,Sello de tiempo De 500001 a 1000000,Aplicativos y certificado,NULL,NULL,ST7,Sello de tiempo,De 500001 a 1000000,NULL
AC.ST8.,Sello de tiempo Ilimitado,Aplicativos y certificado,NULL,NULL,ST8,Sello de tiempo,Ilimitado,NULL
AC.SSL1.,SSL Estandar 256 Bits,Aplicativos y certificado,NULL,NULL,SSL1,SSL,Estandar 256 Bits,NULL
AC.SSL2.,SSL Advantage,Aplicativos y certificado,NULL,NULL,SSL2,SSL,Advantage,NULL
AC.SSL3.,SSL EV Multi dominio,Aplicativos y certificado,NULL,NULL,SSL3,SSL,EV Multi dominio,NULL
AC.SSL4.,SSL UC Multi dominio,Aplicativos y certificado,NULL,NULL,SSL4,SSL,UC Multi dominio,NULL
AC.SSL5.,SSL Wildcard,Aplicativos y certificado,NULL,NULL,SSL5,SSL,Wildcard,NULL
AC.SSL6.,SSL Firma de codigo,Aplicativos y certificado,NULL,NULL,SSL6,SSL,Firma de codigo,NULL
AC.SSL7.,SSL CDS Individual,Aplicativos y certificado,NULL,NULL,SSL7,SSL,CDS Individual,NULL
AC.SSL8.,SSL CDS Grupo,Aplicativos y certificado,NULL,NULL,SSL8,SSL,CDS Grupo,NULL
AC.SSL9.,SSL CDS Enterprise,Aplicativos y certificado,NULL,NULL,SSL9,SSL,CDS Enterprise,NULL
AC.SSL10.,SSL CDS Enterprise,Aplicativos y certificado,NULL,NULL,SSL10,SSL,CDS Enterprise,NULL
AC.SSL11.,SSL Secure Mail Enterprise,Aplicativos y certificado,NULL,NULL,SSL11,SSL,Secure Mail Enterprise,NULL
AC.SSL12.,SSL EV SANs eXTRA (dominios certificados),Aplicativos y certificado,NULL,NULL,SSL12,SSL,EV SANs eXTRA (dominios certificados),NULL
AC.SSL13.,SSL UC SANs eXTRA (dominios certificados),Aplicativos y certificado,NULL,NULL,SSL13,SSL,UC SANs eXTRA (dominios certificados),NULL
