codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
F.AG.M.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Miembro de empresa,Token,Renovacion,NULL,Vigencia 1 ano
F.AG.M.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Miembro de empresa,Token,Renovacion,NULL,Vigencia 2 anos
F.AG.M.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Miembro de empresa,Token,Renovacion,NULL,Vigencia 3 anos
F.TE.P.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Renovacion,NULL,Vigencia 1 ano
F.TE.P.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Renovacion,NULL,Vigencia 2 anos
F.TE.P.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Renovacion,NULL,Vigencia 3 anos
F.TE.R.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Renovacion,NULL,Vigencia 1 ano
F.TE.R.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Renovacion,NULL,Vigencia 2 anos
F.TE.R.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Representante Legal,Token,Renovacion,NULL,Vigencia 3 anos
F.TE.M.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Renovacion,NULL,Vigencia 1 ano
F.TE.M.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Renovacion,NULL,Vigencia 2 anos
F.TE.M.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Miembro de empresa,Token,Renovacion,NULL,Vigencia 3 anos
F.PR.P.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Personas Naturales,Token,Renovacion,NULL,Vigencia 1 ano
F.PR.P.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Personas Naturales,Token,Renovacion,NULL,Vigencia 2 anos
F.PR.P.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Personas Naturales,Token,Renovacion,NULL,Vigencia 3 anos
F.PR.R.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Representante Legal,Token,Renovacion,NULL,Vigencia 1 ano
F.PR.R.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Representante Legal,Token,Renovacion,NULL,Vigencia 2 anos
F.PR.R.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Representante Legal,Token,Renovacion,NULL,Vigencia 3 anos
F.PR.M.T.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Renovacion,NULL,Vigencia 1 ano
F.PR.M.T.R.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Renovacion,NULL,Vigencia 2 anos
F.PR.M.T.R.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Preferenciales,Miembro de empresa,Token,Renovacion,NULL,Vigencia 3 anos
F.ON.P.A.R.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Personas Naturales,Archivo,Renovacion,NULL,Vigencia 1 ano
